Week,Measure,Value
2019-03-10,Bird Feeder,23
2019-03-17,Bird Feeder,24
2019-03-24,Bird Feeder,29
2019-03-31,Bird Feeder,34
2019-04-07,Bird Feeder,31
2019-04-14,Bird Feeder,35
2019-04-21,Bird Feeder,31
2019-04-28,Bird Feeder,38
2019-05-05,Bird Feeder,40
2019-05-12,Bird Feeder,40
2019-05-19,Bird Feeder,38
2019-05-26,Bird Feeder,42
2019-06-02,Bird Feeder,36
2019-06-09,Bird Feeder,37
2019-06-16,Bird Feeder,30
2019-06-23,Bird Feeder,25
2019-06-30,Bird Feeder,27
2019-07-07,Bird Feeder,24
2019-07-14,Bird Feeder,21
2019-07-21,Bird Feeder,26
2019-07-28,Bird Feeder,22
2019-08-04,Bird Feeder,19
2019-08-11,Bird Feeder,20
2019-08-18,Bird Feeder,20
2019-08-25,Bird Feeder,18
2019-09-01,Bird Feeder,20
2019-09-08,Bird Feeder,16
2019-09-15,Bird Feeder,17
2019-09-22,Bird Feeder,19
2019-09-29,Bird Feeder,17
2019-10-06,Bird Feeder,15
2019-10-13,Bird Feeder,19
2019-10-20,Bird Feeder,20
2019-10-27,Bird Feeder,20
2019-11-03,Bird Feeder,24
2019-11-10,Bird Feeder,22
2019-11-17,Bird Feeder,29
2019-11-24,Bird Feeder,25
2019-12-01,Bird Feeder,27
2019-12-08,Bird Feeder,26
2019-12-15,Bird Feeder,28
2019-12-22,Bird Feeder,23
2019-12-29,Bird Feeder,22
2020-01-05,Bird Feeder,23
2020-01-12,Bird Feeder,25
2020-01-19,Bird Feeder,24
2020-01-26,Bird Feeder,22
2020-02-02,Bird Feeder,17
2020-02-09,Bird Feeder,19
2020-02-16,Bird Feeder,26
2020-02-23,Bird Feeder,23
2020-03-01,Bird Feeder,24
2020-03-08,Bird Feeder,22
2020-03-15,Bird Feeder,25
2020-03-22,Bird Feeder,38
2020-03-29,Bird Feeder,52
2020-04-05,Bird Feeder,67
2020-04-12,Bird Feeder,69
2020-04-19,Bird Feeder,82
2020-04-26,Bird Feeder,88
2020-05-03,Bird Feeder,94
2020-05-10,Bird Feeder,97
2020-05-17,Bird Feeder,100
2020-05-24,Bird Feeder,99
2020-05-31,Bird Feeder,80
2020-06-07,Bird Feeder,72
2020-06-14,Bird Feeder,65
2020-06-21,Bird Feeder,57
2020-06-28,Bird Feeder,51
2020-07-05,Bird Feeder,47
2020-07-12,Bird Feeder,44
2020-07-19,Bird Feeder,38
2020-07-26,Bird Feeder,34
2020-08-02,Bird Feeder,35
2020-08-09,Bird Feeder,33
2020-08-16,Bird Feeder,26
2020-08-23,Bird Feeder,32
2020-08-30,Bird Feeder,28
2020-09-06,Bird Feeder,27
2020-09-13,Bird Feeder,31
2020-09-20,Bird Feeder,30
2020-09-27,Bird Feeder,26
2020-10-04,Bird Feeder,26
2020-10-11,Bird Feeder,30
2020-10-18,Bird Feeder,33
2020-10-25,Bird Feeder,28
2020-11-01,Bird Feeder,29
2020-11-08,Bird Feeder,31
2020-11-15,Bird Feeder,40
2020-11-22,Bird Feeder,45
2020-11-29,Bird Feeder,42
2020-12-06,Bird Feeder,47
2020-12-13,Bird Feeder,39
2020-12-20,Bird Feeder,37
2020-12-27,Bird Feeder,42
2021-01-03,Bird Feeder,43
2021-01-10,Bird Feeder,48
2016-01-17,Bird Bath,7
2016-01-24,Bird Bath,6
2016-01-31,Bird Bath,4
2016-02-07,Bird Bath,6
2016-02-14,Bird Bath,7
2016-02-21,Bird Bath,8
2016-02-28,Bird Bath,7
2016-03-06,Bird Bath,8
2016-03-13,Bird Bath,10
2016-03-20,Bird Bath,12
2016-03-27,Bird Bath,10
2016-04-03,Bird Bath,10
2016-04-10,Bird Bath,16
2016-04-17,Bird Bath,18
2016-04-24,Bird Bath,16
2016-05-01,Bird Bath,19
2016-05-08,Bird Bath,18
2016-05-15,Bird Bath,16
2016-05-22,Bird Bath,19
2016-05-29,Bird Bath,19
2016-06-05,Bird Bath,16
2016-06-12,Bird Bath,15
2016-06-19,Bird Bath,17
2016-06-26,Bird Bath,14
2016-07-03,Bird Bath,16
2016-07-10,Bird Bath,14
2016-07-17,Bird Bath,10
2016-07-24,Bird Bath,14
2016-07-31,Bird Bath,11
2016-08-07,Bird Bath,10
2016-08-14,Bird Bath,9
2016-08-21,Bird Bath,8
2016-08-28,Bird Bath,8
2016-09-04,Bird Bath,8
2016-09-11,Bird Bath,7
2016-09-18,Bird Bath,8
2016-09-25,Bird Bath,6
2016-10-02,Bird Bath,6
2016-10-09,Bird Bath,5
2016-10-16,Bird Bath,5
2016-10-23,Bird Bath,7
2016-10-30,Bird Bath,7
2016-11-06,Bird Bath,5
2016-11-13,Bird Bath,10
2016-11-20,Bird Bath,7
2016-11-27,Bird Bath,10
2016-12-04,Bird Bath,10
2016-12-11,Bird Bath,10
2016-12-18,Bird Bath,9
2016-12-25,Bird Bath,7
2017-01-01,Bird Bath,8
2017-01-08,Bird Bath,7
2017-01-15,Bird Bath,9
2017-01-22,Bird Bath,5
2017-01-29,Bird Bath,7
2017-02-05,Bird Bath,7
2017-02-12,Bird Bath,6
2017-02-19,Bird Bath,11
2017-02-26,Bird Bath,11
2017-03-05,Bird Bath,9
2017-03-12,Bird Bath,8
2017-03-19,Bird Bath,14
2017-03-26,Bird Bath,13
2017-04-02,Bird Bath,14
2017-04-09,Bird Bath,14
2017-04-16,Bird Bath,13
2017-04-23,Bird Bath,17
2017-04-30,Bird Bath,17
2017-05-07,Bird Bath,22
2017-05-14,Bird Bath,20
2017-05-21,Bird Bath,19
2017-05-28,Bird Bath,20
2017-06-04,Bird Bath,18
2017-06-11,Bird Bath,21
2017-06-18,Bird Bath,19
2017-06-25,Bird Bath,20
2017-07-02,Bird Bath,20
2017-07-09,Bird Bath,16
2017-07-16,Bird Bath,17
2017-07-23,Bird Bath,12
2017-07-30,Bird Bath,14
2017-08-06,Bird Bath,15
2017-08-13,Bird Bath,10
2017-08-20,Bird Bath,7
2017-08-27,Bird Bath,8
2017-09-03,Bird Bath,7
2017-09-10,Bird Bath,8
2017-09-17,Bird Bath,9
2017-09-24,Bird Bath,9
2017-10-01,Bird Bath,9
2017-10-08,Bird Bath,7
2017-10-15,Bird Bath,8
2017-10-22,Bird Bath,6
2017-10-29,Bird Bath,6
2017-11-05,Bird Bath,10
2017-11-12,Bird Bath,7
2017-11-19,Bird Bath,9
2017-11-26,Bird Bath,9
2017-12-03,Bird Bath,11
2017-12-10,Bird Bath,11
2017-12-17,Bird Bath,7
2017-12-24,Bird Bath,8
2017-12-31,Bird Bath,11
2018-01-07,Bird Bath,6
2018-01-14,Bird Bath,9
2018-01-21,Bird Bath,6
2018-01-28,Bird Bath,8
2018-02-04,Bird Bath,10
2018-02-11,Bird Bath,8
2018-02-18,Bird Bath,8
2018-02-25,Bird Bath,10
2018-03-04,Bird Bath,10
2018-03-11,Bird Bath,11
2018-03-18,Bird Bath,12
2018-03-25,Bird Bath,12
2018-04-01,Bird Bath,14
2018-04-08,Bird Bath,15
2018-04-15,Bird Bath,16
2018-04-22,Bird Bath,16
2018-04-29,Bird Bath,20
2018-05-06,Bird Bath,26
2018-05-13,Bird Bath,23
2018-05-20,Bird Bath,27
2018-05-27,Bird Bath,29
2018-06-03,Bird Bath,26
2018-06-10,Bird Bath,22
2018-06-17,Bird Bath,22
2018-06-24,Bird Bath,23
2018-07-01,Bird Bath,26
2018-07-08,Bird Bath,20
2018-07-15,Bird Bath,20
2018-07-22,Bird Bath,19
2018-07-29,Bird Bath,15
2018-08-05,Bird Bath,16
2018-08-12,Bird Bath,12
2018-08-19,Bird Bath,10
2018-08-26,Bird Bath,11
2018-09-02,Bird Bath,11
2018-09-09,Bird Bath,10
2018-09-16,Bird Bath,7
2018-09-23,Bird Bath,9
2018-09-30,Bird Bath,8
2018-10-07,Bird Bath,8
2018-10-14,Bird Bath,6
2018-10-21,Bird Bath,10
2018-10-28,Bird Bath,9
2018-11-04,Bird Bath,8
2018-11-11,Bird Bath,10
2018-11-18,Bird Bath,10
2018-11-25,Bird Bath,10
2018-12-02,Bird Bath,13
2018-12-09,Bird Bath,13
2018-12-16,Bird Bath,11
2018-12-23,Bird Bath,13
2018-12-30,Bird Bath,13
2019-01-06,Bird Bath,10
2019-01-13,Bird Bath,8
2019-01-20,Bird Bath,11
2019-01-27,Bird Bath,11
2019-02-03,Bird Bath,6
2019-02-10,Bird Bath,10
2019-02-17,Bird Bath,10
2019-02-24,Bird Bath,10
2019-03-03,Bird Bath,11
2019-03-10,Bird Bath,10
2019-03-17,Bird Bath,15
2019-03-24,Bird Bath,15
2019-03-31,Bird Bath,16
2019-04-07,Bird Bath,18
2019-04-14,Bird Bath,24
2019-04-21,Bird Bath,21
2019-04-28,Bird Bath,23
2019-05-05,Bird Bath,32
2019-05-12,Bird Bath,28
2019-05-19,Bird Bath,26
2019-05-26,Bird Bath,33
2019-06-02,Bird Bath,23
2019-06-09,Bird Bath,22
2019-06-16,Bird Bath,19
2019-06-23,Bird Bath,22
2019-06-30,Bird Bath,21
2019-07-07,Bird Bath,20
2019-07-14,Bird Bath,20
2019-07-21,Bird Bath,17
2019-07-28,Bird Bath,14
2019-08-04,Bird Bath,18
2019-08-11,Bird Bath,16
2019-08-18,Bird Bath,14
2019-08-25,Bird Bath,10
2019-09-01,Bird Bath,12
2019-09-08,Bird Bath,9
2019-09-15,Bird Bath,10
2019-09-22,Bird Bath,12
2019-09-29,Bird Bath,10
2019-10-06,Bird Bath,10
2019-10-13,Bird Bath,9
2019-10-20,Bird Bath,13
2019-10-27,Bird Bath,10
2019-11-03,Bird Bath,12
2019-11-10,Bird Bath,12
2019-11-17,Bird Bath,11
2019-11-24,Bird Bath,11
2019-12-01,Bird Bath,13
2019-12-08,Bird Bath,15
2019-12-15,Bird Bath,11
2019-12-22,Bird Bath,13
2019-12-29,Bird Bath,11
2020-01-05,Bird Bath,10
2020-01-12,Bird Bath,9
2020-01-19,Bird Bath,9
2020-01-26,Bird Bath,9
2020-02-02,Bird Bath,8
2020-02-09,Bird Bath,11
2020-02-16,Bird Bath,10
2020-02-23,Bird Bath,12
2020-03-01,Bird Bath,13
2020-03-08,Bird Bath,12
2020-03-15,Bird Bath,10
2020-03-22,Bird Bath,16
2020-03-29,Bird Bath,19
2020-04-05,Bird Bath,25
2020-04-12,Bird Bath,32
2020-04-19,Bird Bath,40
2020-04-26,Bird Bath,48
2020-05-03,Bird Bath,58
2020-05-10,Bird Bath,57
2020-05-17,Bird Bath,60
2020-05-24,Bird Bath,72
2020-05-31,Bird Bath,57
2020-06-07,Bird Bath,61
2020-06-14,Bird Bath,59
2020-06-21,Bird Bath,49
2020-06-28,Bird Bath,43
2020-07-05,Bird Bath,42
2020-07-12,Bird Bath,39
2020-07-19,Bird Bath,40
2020-07-26,Bird Bath,34
2020-08-02,Bird Bath,32
2020-08-09,Bird Bath,29
2020-08-16,Bird Bath,26
2020-08-23,Bird Bath,20
2020-08-30,Bird Bath,22
2020-09-06,Bird Bath,19
2020-09-13,Bird Bath,17
2020-09-20,Bird Bath,16
2020-09-27,Bird Bath,14
2020-10-04,Bird Bath,16
2020-10-11,Bird Bath,18
2020-10-18,Bird Bath,16
2020-10-25,Bird Bath,14
2020-11-01,Bird Bath,14
2020-11-08,Bird Bath,17
2020-11-15,Bird Bath,17
2020-11-22,Bird Bath,17
2020-11-29,Bird Bath,18
2020-12-06,Bird Bath,17
2020-12-13,Bird Bath,12
2020-12-20,Bird Bath,13
2020-12-27,Bird Bath,16
2021-01-03,Bird Bath,16
2021-01-10,Bird Bath,7
2016-01-17,Bird Seed,12
2016-01-24,Bird Seed,9
2016-01-31,Bird Seed,7
2016-02-07,Bird Seed,8
2016-02-14,Bird Seed,7
2016-02-21,Bird Seed,9
2016-02-28,Bird Seed,6
2016-03-06,Bird Seed,8
2016-03-13,Bird Seed,10
2016-03-20,Bird Seed,8
2016-03-27,Bird Seed,9
2016-04-03,Bird Seed,9
2016-04-10,Bird Seed,12
2016-04-17,Bird Seed,11
2016-04-24,Bird Seed,11
2016-05-01,Bird Seed,12
2016-05-08,Bird Seed,10
2016-05-15,Bird Seed,11
2016-05-22,Bird Seed,11
2016-05-29,Bird Seed,8
2016-06-05,Bird Seed,10
2016-06-12,Bird Seed,12
2016-06-19,Bird Seed,11
2016-06-26,Bird Seed,11
2016-07-03,Bird Seed,14
2016-07-10,Bird Seed,7
2016-07-17,Bird Seed,13
2016-07-24,Bird Seed,7
2016-07-31,Bird Seed,7
2016-08-07,Bird Seed,7
2016-08-14,Bird Seed,7
2016-08-21,Bird Seed,7
2016-08-28,Bird Seed,8
2016-09-04,Bird Seed,7
2016-09-11,Bird Seed,7
2016-09-18,Bird Seed,9
2016-09-25,Bird Seed,8
2016-10-02,Bird Seed,9
2016-10-09,Bird Seed,7
2016-10-16,Bird Seed,8
2016-10-23,Bird Seed,9
2016-10-30,Bird Seed,7
2016-11-06,Bird Seed,9
2016-11-13,Bird Seed,7
2016-11-20,Bird Seed,8
2016-11-27,Bird Seed,7
2016-12-04,Bird Seed,9
2016-12-11,Bird Seed,11
2016-12-18,Bird Seed,11
2016-12-25,Bird Seed,10
2017-01-01,Bird Seed,9
2017-01-08,Bird Seed,10
2017-01-15,Bird Seed,10
2017-01-22,Bird Seed,6
2017-01-29,Bird Seed,8
2017-02-05,Bird Seed,9
2017-02-12,Bird Seed,8
2017-02-19,Bird Seed,7
2017-02-26,Bird Seed,8
2017-03-05,Bird Seed,10
2017-03-12,Bird Seed,9
2017-03-19,Bird Seed,8
2017-03-26,Bird Seed,9
2017-04-02,Bird Seed,12
2017-04-09,Bird Seed,14
2017-04-16,Bird Seed,12
2017-04-23,Bird Seed,14
2017-04-30,Bird Seed,8
2017-05-07,Bird Seed,10
2017-05-14,Bird Seed,12
2017-05-21,Bird Seed,10
2017-05-28,Bird Seed,10
2017-06-04,Bird Seed,13
2017-06-11,Bird Seed,13
2017-06-18,Bird Seed,11
2017-06-25,Bird Seed,9
2017-07-02,Bird Seed,13
2017-07-09,Bird Seed,13
2017-07-16,Bird Seed,8
2017-07-23,Bird Seed,12
2017-07-30,Bird Seed,9
2017-08-06,Bird Seed,9
2017-08-13,Bird Seed,9
2017-08-20,Bird Seed,7
2017-08-27,Bird Seed,8
2017-09-03,Bird Seed,8
2017-09-10,Bird Seed,9
2017-09-17,Bird Seed,9
2017-09-24,Bird Seed,8
2017-10-01,Bird Seed,8
2017-10-08,Bird Seed,9
2017-10-15,Bird Seed,8
2017-10-22,Bird Seed,11
2017-10-29,Bird Seed,9
2017-11-05,Bird Seed,10
2017-11-12,Bird Seed,8
