iso,country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
mkd,North Macedonia,,,,,,,,,,,,,,,,,31.992,36.104,34.481,32.411,31.727,30.515,31.944,36.687,37.15,37.25,36.025,34.925,33.775,32.175,32.05,31.375,31.0,29.0,28.025,26.05,23.75,22.375,20.725,17.25,16.375,15.7,15.249,15.007,14.801,14.622,14.473,14.388
mlt,Malta,,,,12.5,12.5,12.2,11.0,8.2,6.2,4.636,4.8,4.4,4.9,5.4,5.4,4.9,5.2,6.2,6.6,7.1,6.758,7.617,7.025,7.567,7.217,6.942,6.817,6.467,5.975,6.883,6.842,6.392,6.2,6.108,5.733,5.392,4.7,4.0,3.658,3.633,4.367,3.533,3.2,3.3,3.4,3.5,3.5,3.5
mng,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,9.2,11.6,9.9,7.7,8.2,7.9,7.9,7.5,10.0,8.8,7.8,10.0,7.0,8.1,7.29,6.561,5.905,5.314,5.0,5.0
mus,Mauritius,,,20.563,19.721,17.623,15.306,10.941,5.963,3.888,3.6,2.824,2.732,3.342,3.939,4.492,5.116,5.785,6.561,6.888,7.698,6.501,6.8,7.2,7.698,8.395,9.567,9.081,8.522,7.222,7.328,7.8,7.9,8.1,8.0,7.8,7.9,7.3,7.1,6.9,6.7,9.2,9.1,7.66,7.372,7.314,7.303,7.301,7.3
mys,Malaysia,,,,,,6.893,8.261,8.207,8.079,6.715,5.055,4.345,3.718,3.026,2.947,3.143,2.516,2.445,3.225,3.425,3.1,3.675,3.475,3.6,3.55,3.55,3.325,3.225,3.325,3.675,3.3,3.05,3.025,3.1,2.875,3.15,3.45,3.425,3.325,3.275,4.525,4.65,4.45,4.25,4.15,4.15,4.15,4.15
nga,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.092,5.957,10.566,9.955,7.841,9.0,13.375,17.462,22.562,,,,,,,,,
nic,Nicaragua,13.448,11.8,12.4,11.0,12.0,12.5,13.1,14.0,14.2,15.0,15.5,14.9,14.4,15.0,17.1,16.907,15.953,14.274,13.213,10.683,9.8,6.4,12.2,6.998,6.537,5.559,5.193,5.935,6.062,8.158,7.829,5.93,5.912,5.746,6.557,5.909,4.481,3.67,5.5,6.223,7.176,11.1,7.518,7.157,6.763,6.355,5.969,5.498
nld,Netherlands,3.354,4.583,6.525,8.254,8.09,7.327,6.52,6.337,6.247,5.674,5.112,4.799,4.865,5.53,6.193,7.733,7.099,6.101,4.93,4.139,3.66,3.137,3.665,5.921,6.773,6.961,6.079,5.295,4.77,5.422,6.082,6.05,6.823,8.204,8.338,7.887,7.005,5.873,4.881,4.436,4.851,4.226,3.5,3.9,4.0,4.2,4.4,4.6
nor,Norway,1.65,2.001,2.606,3.426,3.147,2.588,1.962,2.084,3.149,4.908,5.229,5.469,5.915,5.948,5.393,4.906,4.833,4.034,3.186,3.172,3.426,3.546,3.889,4.494,4.471,4.616,3.444,2.539,2.747,3.266,3.794,3.364,3.294,3.773,3.617,4.531,4.74,4.216,3.854,3.728,4.595,4.41,3.9,3.8,3.7,3.7,3.7,3.7
nzl,New Zealand,4.019,3.911,4.358,6.241,7.186,3.922,4.2,4.225,5.8,7.325,7.975,10.625,10.675,9.8,8.35,6.45,6.325,6.875,7.725,7.05,6.15,5.475,5.3,4.75,4.025,3.8,3.875,3.625,4.025,5.9,6.2,6.05,6.45,5.825,5.425,5.425,5.175,4.725,4.325,4.125,4.6,3.75,3.35,3.862,4.116,4.284,4.268,4.32
pak,Pakistan,,,,3.85,3.75,3.65,3.3,3.071,3.142,3.141,3.13,5.85,5.85,4.73,4.84,5.37,5.37,6.12,5.89,5.89,7.82,7.82,8.27,8.27,7.69,7.69,6.2,5.2,5.2,5.46,5.55,5.95,5.95,5.975,6.0,5.9,5.88,5.832,5.8,6.9,6.562,6.3,6.2,6.4,6.2,6.0,5.8,5.5
pan,Panama,8.375,9.184,10.981,11.573,12.216,14.418,12.504,14.102,18.78,18.939,16.719,15.971,14.674,13.262,14.008,14.019,14.317,13.37,11.599,9.532,13.526,14.026,13.489,13.042,11.749,9.781,8.662,6.372,5.579,6.557,6.516,4.481,4.05,4.098,4.823,5.052,5.494,6.13,5.956,7.07,18.548,11.293,9.508,9.963,9.963,9.963,9.963,9.963
per,Peru,7.326,6.8,6.4,9.0,8.9,4.589,5.3,4.8,4.156,7.9,8.3,5.9,9.4,9.9,8.8,7.1,7.2,8.6,6.9,9.4,7.847,9.246,9.42,9.424,9.436,9.579,8.542,8.419,8.377,8.387,7.88,7.727,6.798,5.945,5.938,6.49,6.742,6.876,6.7,6.6,13.9,10.9,7.6,7.5,7.4,7.3,7.2,7.0
phl,Philippines,,,,,,11.058,11.682,11.062,9.402,9.129,8.4,10.5,9.8,9.275,9.475,9.525,8.525,8.675,10.05,9.725,11.175,11.125,11.4,11.4,11.825,11.35,7.95,7.325,7.4,7.475,7.325,7.025,6.975,7.075,6.8,6.275,5.475,5.725,5.325,5.1,10.4,7.758,5.725,5.383,5.1,5.1,5.1,5.1
pol,Poland,,,,,,,,,,,6.3,11.8,13.6,16.4,11.4,13.341,12.343,11.246,10.576,13.133,16.087,18.242,20.235,19.942,19.276,18.052,14.169,9.944,7.466,8.514,9.964,9.937,10.377,10.602,9.198,7.659,6.263,4.952,3.89,3.312,3.2,3.362,2.782,3.172,3.376,3.376,3.376,3.376
pri,Puerto Rico,17.1,19.8,22.8,23.4,20.7,21.8,18.9,16.8,15.0,14.6,14.2,16.0,16.7,17.0,14.6,13.7,13.4,13.5,13.3,11.7,10.1,11.4,12.3,12.0,10.6,11.3,10.5,11.2,11.8,15.3,16.4,15.9,14.5,14.3,13.9,12.0,11.8,10.8,9.2,8.3,8.9,7.9,6.0,7.9,8.8,8.9,9.0,9.0
prt,Portugal,7.824,8.29,7.457,7.945,10.503,8.674,8.603,7.126,7.069,5.059,4.225,4.138,3.86,5.127,6.34,7.917,8.015,7.51,5.72,5.169,4.717,4.801,5.779,7.038,7.392,8.343,8.408,8.722,8.315,10.177,11.506,13.445,16.516,17.092,14.535,12.939,11.452,9.217,7.183,6.683,7.125,6.575,6.114,6.486,6.393,6.346,6.253,6.253
pry,Paraguay,,,,8.3,7.3,5.1,6.1,5.5,4.7,6.1,6.6,5.1,5.3,5.1,4.4,3.3,8.2,5.0,5.8,6.8,7.3,7.6,10.8,8.059,7.307,5.831,6.653,5.601,5.728,6.398,5.674,5.621,4.573,5.021,6.038,5.351,5.998,6.086,6.236,6.569,7.708,7.742,7.164,6.373,6.116,6.116,6.116,6.116
rou,Romania,,,,,,4.0,3.9,3.7,3.7,3.4,3.4,3.5,5.441,9.206,10.994,9.882,7.323,7.85,9.611,7.175,7.648,7.334,8.29,7.838,8.006,7.14,7.172,6.344,5.517,6.996,7.722,7.876,6.794,7.096,6.802,6.812,5.902,4.927,4.187,3.912,5.035,5.59,5.5,5.5,5.4,5.3,5.3,5.3
rus,Russia,,,,,,,,,,,,,5.2,5.9,8.1,8.3,9.258,10.808,11.875,13.033,10.558,8.942,8.042,8.233,7.733,7.15,7.05,6.025,6.233,8.242,7.358,6.508,5.45,5.5,5.158,5.575,5.525,5.2,4.8,4.6,5.783,4.825,4.004,4.313,4.416,4.439,4.45,4.605
sau,Saudi Arabia,,,,,,,,,,,,,,,,,,,,4.345,4.571,4.617,5.265,5.562,5.822,6.051,6.254,5.645,5.176,5.377,5.548,5.772,5.524,5.568,5.721,5.591,5.6,6.0,6.0,5.7,7.4,6.65,,,,,,
sdn,Sudan,,22.328,22.219,21.426,20.66,19.923,19.211,18.525,17.863,17.225,16.61,15.998,15.409,15.757,15.177,14.618,14.0,13.5,13.0,12.5,15.2,15.0,15.9,15.8,16.183,17.01,17.493,16.77,16.04,14.894,13.733,12.033,14.8,15.2,19.8,21.6,20.6,19.6,19.5,22.1,26.83,28.328,30.606,30.606,28.61,25.674,22.849,20.313
sgp,Singapore,5.751,5.925,6.281,5.57,6.135,4.565,2.012,3.9,2.575,1.775,1.775,1.75,1.8,1.7,1.725,1.75,1.65,1.425,2.5,2.8,2.675,2.65,3.55,3.95,3.35,3.125,2.65,2.125,2.225,3.025,2.175,2.025,1.95,1.9,1.95,1.9,2.075,2.175,2.1,2.25,3.0,2.65,2.1,2.1,2.1,2.1,2.1,2.1
slv,El Salvador,,,,,,,,,10.154,9.074,10.0,8.7,9.3,9.9,7.7,7.6,7.7,8.0,7.3,6.4,6.7,6.96,6.23,6.915,6.78,7.2,6.6,6.3,5.9,7.3,7.0,6.6,6.1,5.9,7.0,7.006,6.98,7.049,6.346,6.335,11.973,10.303,8.2,7.5,7.0,7.0,7.0,7.0
smr,San Marino,,,,,,,,,,,,,,,,,,,,,,3.54,3.921,4.119,3.362,3.56,3.313,3.021,3.114,4.483,4.945,5.469,6.95,8.079,8.739,9.183,8.597,8.095,8.009,7.663,7.342,6.129,5.9,5.66,5.693,5.715,5.715,5.715
srb,Serbia,,,,,,,,,,,,,,,,,,12.26,12.8,13.3,12.1,12.2,14.47,16.0,19.53,21.83,21.56,18.8,14.4,16.9,20.0,23.6,24.6,23.0,21.021,19.281,16.854,14.869,14.073,11.581,10.093,10.093,9.885,9.707,9.533,9.273,8.976,8.683
stp,São Tomé and Príncipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sur,Suriname,,,,,,,,,,,,,,,12.373,8.418,10.936,9.839,10.626,12.0,13.767,13.729,9.658,6.549,8.383,11.084,12.281,10.682,9.361,8.711,7.2,7.5,8.1,6.6,5.5,7.0,10.0,7.0,9.0,8.809,11.147,11.2,10.9,10.6,10.3,10.0,9.9,9.145
svk,Slovak Republic,,,,,,,,,,,,,,12.7,14.6,13.7,12.6,11.882,12.725,16.492,18.9,19.458,18.825,17.7,18.358,16.358,13.442,11.217,9.592,12.1,14.417,13.625,13.9,14.117,13.108,11.45,9.658,8.067,6.525,5.725,6.608,6.842,6.2,6.2,6.0,5.7,5.7,5.7
svn,Slovenia,,,,,,,,,,,,,7.836,8.591,8.497,7.0,6.892,6.917,7.367,7.408,6.742,6.192,6.342,6.7,6.342,6.542,5.992,4.858,4.392,5.85,7.258,8.183,8.85,10.108,9.7,8.983,8.008,6.575,5.125,4.442,4.983,4.775,4.287,4.28,4.284,4.153,4.042,4.005
swe,Sweden,2.7,3.417,4.342,4.758,4.233,3.85,3.608,2.867,2.35,2.025,2.242,4.0,7.1,11.15,10.783,10.417,10.883,10.875,8.817,7.55,6.342,5.825,5.95,6.567,7.375,7.783,7.242,6.317,6.35,8.483,8.775,7.95,8.15,8.208,8.1,7.592,7.15,6.858,6.517,6.975,8.542,8.8,7.643,7.4,7.3,7.2,7.2,7.2
syc,Seychelles,,,,,,,,,,,,,,,,7.7,7.452,6.757,4.211,3.172,3.112,4.412,4.064,3.151,3.531,3.624,2.511,1.863,1.716,5.136,4.605,4.13,3.705,3.325,2.983,2.684,2.684,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
syr,Syria,,,,,,,,,,,,,,,,,,16.761,12.405,13.462,13.483,8.171,11.672,10.781,12.288,8.089,8.182,8.406,10.924,8.139,8.613,,,,,,,,,,,,,,,,,
tha,Thailand,,,,,,,,,,,,,,,,,,,,,,3.333,2.442,2.192,2.108,1.858,1.517,1.364,1.372,1.5,1.05,0.655,0.662,0.7,0.8,0.9,1.0,1.2,1.1,1.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0
tjk,Tajikistan,,,,,,,,,,,,,,,,,,,,3.2,2.6,2.5,2.6,2.3,2.2,2.1,2.3,2.5,2.3,2.1,2.2,2.492,,,,,,,,,,,,,,,,
tun,Tunisia,,,,,,,,,,,16.198,16.223,16.247,16.272,16.296,16.177,16.058,15.939,16.063,15.982,15.691,15.126,15.263,14.514,14.237,12.819,12.511,12.397,12.442,13.29,13.048,18.889,16.723,15.33,14.959,15.39,15.544,15.513,15.53,14.889,17.4,16.2,,,,,,
tur,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twn,Taiwan Province of China,1.23,1.36,2.14,2.71,2.45,2.91,2.66,1.97,1.69,1.57,1.67,1.51,1.51,1.45,1.56,1.79,2.6,2.72,2.69,2.92,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73,3.85,3.95,3.6,3.6,3.6,3.6,3.6,3.6
ukr,Ukraine,,,,,,,,,,,,,,,,14.8,10.0,9.8,11.3,11.9,11.483,10.789,9.629,9.057,8.588,7.185,6.81,6.351,6.363,8.843,8.097,7.856,7.529,7.172,9.275,9.143,9.45,9.65,9.0,8.5,9.15,9.815,,,,,,
ury,Uruguay,,,,14.5,14.0,13.1,10.1,9.1,8.6,8.0,8.5,8.9,9.0,8.3,9.2,10.3,11.9,11.558,10.125,11.2,13.4,15.192,16.75,17.15,13.342,12.142,10.783,9.4,7.925,7.783,7.025,6.342,6.325,6.508,6.625,7.525,7.867,7.925,8.367,8.925,10.35,9.375,7.851,7.896,7.896,7.896,7.896,7.896
usa,United States,7.175,7.617,9.708,9.6,7.508,7.192,7.0,6.175,5.492,5.258,5.617,6.85,7.492,6.908,6.1,5.592,5.408,4.942,4.5,4.217,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.675,8.092,5.358,3.67,4.557,5.42,5.374,4.921,4.703
uvk,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,30.0,35.3,32.9,27.525,30.475,29.5,25.65,25.95,25.8,,,,,,
uzb,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,5.2,4.9,3.6,3.0,5.2,4.99,4.893,5.041,5.357,4.963,4.874,4.86,5.087,5.153,5.163,5.83,9.347,8.976,10.531,9.5,10.0,9.5,9.0,8.5,8.0,7.5
ven,Venezuela,,,,,,,,,,,,,,,,,,,,14.525,14.008,13.358,15.996,18.188,15.067,12.242,9.958,8.492,7.354,7.879,8.508,8.204,7.823,7.47,6.7,7.4,20.863,27.886,35.554,,,,,,,,,
vnm,Vietnam,,,,,,,,,,,12.327,10.393,11.0,10.6,10.3,5.82,5.88,6.01,6.85,6.74,6.42,6.28,6.01,5.78,5.6,5.31,4.82,4.64,2.38,2.9,2.88,2.22,1.96,2.18,2.1,2.33,2.3,2.24,2.19,2.17,2.48,2.7,2.4,2.3,2.3,2.3,2.3,2.3
wbg,West Bank and Gaza,,,,,,,,,,,,,,18.6,18.6,18.713,23.529,20.1,14.219,11.844,14.3,25.3,31.2,25.5,26.8,23.5,23.7,21.7,26.6,24.5,23.7,20.9,23.0,23.4,26.9,25.9,26.9,25.45,26.25,25.35,25.925,26.392,25.692,24.992,24.492,24.192,24.092,23.992
zaf,South Africa,9.241,9.824,10.755,12.543,13.718,15.452,16.049,16.592,17.238,17.829,18.784,20.162,21.213,22.163,22.89,16.5,20.3,22.0,26.1,23.3,23.0,25.95,27.8,27.65,25.15,24.65,23.55,23.0,22.525,23.7,24.875,24.8,24.875,24.725,25.1,25.35,26.725,27.45,27.125,28.7,29.175,34.3,34.625,35.575,36.84,37.453,38.054,38.644
